Ödevler	O
,	O
Sınavlar	O
,	O
Evet	O
yaşanması	O
gereken	O
zamanımızı	B-IDIOM
öldürüyorlar	I-IDIOM
.	O
Belediye	O
bugün	O
yolları	O
açtı	O
.	O
Planı	O
ortaya	B-IDIOM
çıkmasın	I-IDIOM
diye	O
elinden	O
geleni	O
yapmış	O
.	O
Aldığın	O
bunca	O
tedbire	O
rağmen	O
halen	O
üstüne	O
geliyorlar	O
.	O
Yazdıkların	O
yanlış	O
olmuş	O
,	O
istersen	O
defterden	O
silip	O
düzelt	O
yazdıklarını	O
.	O
Üstüme	O
bu	O
kadar	O
gelme	O
,	O
çık	O
git	O
bu	O
evden	O
.	O
Biz	O
mi	O
hesap	B-IDIOM
verecek	I-IDIOM
mişiz	O
?	O
.	O
Hatıra	O
kalsın	O
diye	O
köyünden	O
küçük	O
bir	O
yer	O
aldı	O
.	O
Karşı	O
karşıya	O
gelip	O
,	O
rekabet	O
yaratmanız	O
Dodo	O
’	O
nun	O
çıkar	O
sağlamasına	O
yardımcı	O
oldu	O
.	O
kitap	O
hakkında	O
yapılan	O
yorumlara	O
karşı	B-IDIOM
çıkmak	I-IDIOM
zorunda	O
kaldı	O
.	O
Üst	O
üste	O
ateşi	O
çıkan	O
hastaları	O
karantinaya	O
aldık	O
.	O
Her	O
zaman	O
kazandıklarımı	O
ve	O
kaybettimlerimi	O
analiz	O
ederim	O
.	O
denizin	O
üstünden	O
aldığı	O
algler	O
ekosistemin	O
parçalından	O
biriydi	O
.	O
Yanan	O
yağ	O
tavanın	O
dibinde	O
iz	O
bıraktı	O
.	O
Çocuk	O
,	O
kaldırımda	O
el	B-IDIOM
açtı	I-IDIOM
.	O
Masanın	O
tam	O
ortasına	O
koyduğu	O
vazonun	O
içinde	O
tek	O
bir	O
kırmızı	O
gül	O
vardı	O
.	O
Ortaya	B-IDIOM
koyduğu	I-IDIOM
her	O
bir	O
argümanın	O
tek	O
tek	O
çürütüldüğünü	O
anladığında	O
sinirlerine	O
hakim	O
olamadı	O
.	O
İçim	B-IDIOM
eriyor	I-IDIOM
sen	O
gittin	O
gideli	O
,	O
dışım	O
yanıyor	O
bir	O
Aralık	O
akşamında	O
.	O
Meydana	B-IDIOM
daha	O
sonra	O
gelen	I-IDIOM
felaketler	O
bu	O
devletin	O
de	O
sonunu	O
getirmişti	O
.	O
sıkı	B-IDIOM
dur	I-IDIOM
hadi	O
az	O
kaldı	O
.	O
Çok	O
ayıp	O
etmiş	O
,	O
onu	O
defterden	B-IDIOM
silsen	I-IDIOM
yeridir	O
.	O
Annem	O
öç	O
ok	O
sıkı	B-IDIOM
kurallarla	O
duruyor	I-IDIOM
.	O
Ele	B-IDIOM
almak	I-IDIOM
gerekli	O
mi	O
sizce	O
bu	O
problemi	O
?	O
.	O
sıkı	B-IDIOM
durun	I-IDIOM
mehmetçikler	O
,	O
zafer	O
bizimdir	O
.	O
Steam	O
deki	O
hesabını	O
vermek	O
istememiş	O
.	O
Ortaya	B-IDIOM
koyduğun	I-IDIOM
performans	O
harikaydı	O
.	O
Söylediklerimi	O
dinlemeden	O
karşı	B-IDIOM
çıkıyorsun	I-IDIOM
.	O
Ağırlık	B-IDIOM
verdim	I-IDIOM
eksik	O
konulara	O
.	O
Bu	O
konuya	O
yer	B-IDIOM
de	O
vermek	I-IDIOM
isterim	O
ama	O
yeterli	O
vaktimiz	O
yok	O
.	O
ilk	O
maaşımı	O
alınca	O
veresiye	O
defterinden	O
adımı	O
sildireceğim	O
.	O
Ağaçları	O
kesilen	O
o	O
meydanın	O
ne	O
hale	O
geldiğine	O
inanamayacaksın	O
.	O
Zamanında	O
ektiğim	O
incir	O
ağacı	O
etrafında	O
ki	O
bitkileri	O
öldürüyor	O
.	O
Bu	O
işin	O
sonunda	O
hesap	B-IDIOM
veren	I-IDIOM
sen	O
olacaksın	O
.	O
Üst	O
üste	O
kendi	O
içi	O
aldığı	O
kararlar	O
onu	O
zor	O
duruma	O
düşürdü	O
.	O
Tatilciler	O
sahillerde	O
yerlerini	B-IDIOM
aldılar	I-IDIOM
.	O
Asansörde	O
direk	O
karşıma	O
o	O
çıktı	O
.	O
Saçlarımı	O
bir	O
ton	O
açarken	O
ellerim	O
hep	O
boya	O
oldu	O
.	O
Meydana	O
Noel	O
babanın	O
gelmesi	O
çocukları	O
sevindirdi	O
.	O
Ayakta	O
güçlükle	O
dururken	O
,	O
sıkı	O
sıkı	O
sarılarak	O
birbirimize	O
destek	O
olduk	O
.	O
suya	O
ulaşmak	O
için	O
dağın	O
eteklerinde	O
üste	O
doğru	O
çıkmamız	O
gerek	O
.	O
Başak	O
hanım	O
birinciliği	O
elimden	O
alarak	O
adeta	O
yaralı	O
parmağıma	O
tuz	O
basmıştı	O
.	O
Bu	O
projede	O
üstüne	B-IDIOM
sorumluluk	O
mu	O
alacakmış	I-IDIOM
,	O
çok	O
şaşırdım	O
doğrusu	O
.	O
Buradan	O
geçerken	O
dikkatli	O
ol	O
sonra	O
başın	O
ağrımasın	O
.	O
Herkese	O
karşı	B-IDIOM
çıkmak	I-IDIOM
muhalif	O
kişilerin	O
bir	O
alışkanlığı	O
sanırım	O
.	O
İstiyoruz	O
ki	O
toplumumuzun	O
her	O
kesimi	O
bu	O
alanda	O
üzerine	O
düşeni	O
yapsın	O
,	O
kabiliyetini	O
ortaya	B-IDIOM
koysun	I-IDIOM
.	O
Hesabını	B-IDIOM
veremeyeceğin	I-IDIOM
sorumluluğun	O
altına	O
girme	O
!	O
.	O
Geçen	O
toplantıda	O
müdür	O
sayıp	B-IDIOM
dökmekten	I-IDIOM
başka	O
birşey	O
konuşulmadı	O
.	O
Matematikçimiz	O
her	O
sınavdan	O
önce	O
“	O
Bu	O
sefer	O
ayvayı	B-IDIOM
yediniz	I-IDIOM
”	O
diye	O
anlamsız	O
bir	O
şaka	O
yapardı	O
.	O
Bu	O
yarıştan	O
birinci	O
çıkmak	O
ona	O
karşı	O
kazandığım	O
ilk	O
zafer	O
değil	O
.	O
Kayalıklara	O
çıkan	O
kız	O
karşı	O
kıyıyı	O
zor	O
görüyordu	O
.	O
Tehlikelere	O
karşı	O
balkona	O
çıkıp	O
nöbet	O
tuttular	O
.	O
Lokanta	O
da	O
hesabı	O
veremeyince	O
bize	O
bulaşıklar	O
kaldı😅	O
.	O
Tüm	O
koltuklar	O
dolu	O
olunca	O
bana	O
kendi	O
yerini	O
verdi	O
.	O
Terapistinin	O
isteği	O
üzerine	O
gözlerini	O
yumdu	O
ve	O
geçmişte	O
onu	O
çok	O
üzen	O
bir	O
anısını	O
düşünmeye	O
başladı	O
.	O
Basamak	B-IDIOM
bile	O
yaptın	I-IDIOM
ya	O
beni	O
,	O
helal	O
olsun	O
!	O
.	O
Buradan	O
her	O
geçtiğinde	O
başına	O
kötü	O
bir	O
şey	O
geleceğine	O
inanıyor	O
.	O
Duman	O
grubu	O
hiç	O
sıkı	O
durmaz	O
.	O
Zaman	B-IDIOM
kazanmaya	I-IDIOM
odaklanmıştım	O
,	O
gözüm	O
hiçbir	O
şey	O
görmüyordu	O
.	O
Çelenkleri	O
koymak	O
için	O
bütün	O
partiler	O
meydana	O
geldi	O
.	O
Sevgilimin	O
karşısına	O
bu	O
kılıkla	O
mı	O
çıkacağım	O
?	O
.	O
Televizyon	O
izleyerek	O
bütün	O
zamanını	B-IDIOM
öldürüyordu	I-IDIOM
.	O
Oğlum	O
her	O
fırsatta	O
bir	O
bahane	O
öne	B-IDIOM
sürüyor	I-IDIOM
dışarı	O
çıkmamak	O
için	O
.	O
üstüne	B-IDIOM
aldığın	I-IDIOM
bu	O
pisliğin	O
farkında	O
mısın	O
dostun	O
.	O
O	O
da	O
sayıp	B-IDIOM
dökmeye	I-IDIOM
başladıysa	O
gerçekten	O
sorun	O
büyük	O
olmalı	O
.	O
Televizyonda	O
çıkan	O
reklamlar	O
hep	O
zaman	B-IDIOM
