Şu	O	tr
anda	O	tr
bir	O	tr
tek	O	tr
grup	O	tr
KOBİ	O	tr
'lere	O	tr
yönelik	O	tr
faaliyetlerini	O	tr
artırmaya	O	tr
çalışıyor	O	tr
:	O	tr
Bankalar	O	tr
.	O	tr

Türkiye	O	tr
'de	O	tr
bankaların	O	tr
bir	O	tr
siyasi	O	tr
gücü	O	tr
de	O	tr
var	O	tr
,	O	tr
bu	O	tr
nedenle	O	tr
ilerde	O	tr
örgütlenmeye	O	tr
de	O	tr
yardımcı	B-IDIOM	tr
olabilirler	I-IDIOM	tr
.	O	tr

KOSGEB	O	tr
MAHFOLDU	O	tr
.	O	tr

KOSGEB	O	tr
'in	O	tr
özerkleştirilmesi	O	tr
konusunda	O	tr
ne	O	tr
düşünüyorsunuz	O	tr
.	O	tr

Bu	O	tr
konu	O	tr
son	O	tr
zamanlarda	O	tr
gündemde	O	tr
çünkü	O	tr
bu	O	tr
kurum	O	tr
bütçe	O	tr
kısıntıları	O	tr
yüzünden	O	tr
işlevini	O	tr
tam	O	tr
olarak	O	tr
yapamıyor	O	tr
galiba	O	tr
.	O	tr

Evet	O	tr
,	O	tr
haklısınız	O	tr
.	O	tr

Hesaplara	O	tr
göre	O	tr
kurulduğu	O	tr
yıl	O	tr
KOSGEB	O	tr
'e	O	tr
bugünkü	O	tr
değerle	O	tr
30_trilyon	O	tr
verilmiş	O	tr
,	O	tr
bu	O	tr
yıl	O	tr
tahsil	O	tr
edilen	O	tr
fonlar	O	tr
ise	O	tr
belki	O	tr
1_trilyon	O	tr
.	O	tr

Çeşitli	O	tr
siyasi	O	tr
müdahaleler	O	tr
sonucu	O	tr
(	O	tr
seçim	O	tr
bölgelerinde	O	tr
oy	O	tr
toplamak	O	tr
için	O	tr
)	O	tr
bir	O	tr
sürü	O	tr
merkez	O	tr
açıldı	O	tr
ama	O	tr
bütçe	O	tr
ve	O	tr
kadro	O	tr
aşağı	O	tr
gitti	O	tr
.	O	tr

Siyasiler	O	tr
KOSGEB	O	tr
'i	O	tr
mahfettiler	O	tr
ve	O	tr
gittiler	O	tr
.	O	tr

Yoksa	O	tr
KOSGEB	O	tr
10	O	tr
yıl	O	tr
önce	O	tr
olduğu	O	tr
gibi	O	tr
ve	O	tr
UNIDO	O	tr
ile	O	tr
çalışan	O	tr
kurum	O	tr
olsaydı	O	tr
.	O	tr

O	O	tr
zamandan	O	tr
kalma	O	tr
başarılı	O	tr
projeler	O	tr
var	O	tr
hala	O	tr
.	O	tr

KOSGEB	O	tr
'deki	O	tr
arkadaşları	O	tr
suçlayamayız	O	tr
.	O	tr

10	O	tr
yıl	O	tr
önce	O	tr
o	O	tr
başarılı	O	tr
projeleri	O	tr
hazırlayan	O	tr
Mahmut_Esat_Yalçın	O	tr
bugün	O	tr
başkan	O	tr
vekili	O	tr
.	O	tr

Ama	O	tr
kurumun	O	tr
şu	O	tr
anda	O	tr
bu	O	tr
kadar	O	tr
geniş	O	tr
bir	O	tr
alanda	O	tr
çalışmak	O	tr
için	O	tr
bütçesi	O	tr
de	O	tr
kadrosu	O	tr
da	O	tr
yetersiz	O	tr
.	O	tr

İHTİYAÇTAN	O	tr
DOĞMALI	O	tr
.	O	tr

Türkiye	O	tr
'deki	O	tr
KOBİ	O	tr
örgütlenmesinin	O	tr
başarısı	O	tr
neye	O	tr
bağlı	O	tr
sizce	O	tr
.	O	tr

Ne	O	tr
zaman	O	tr
ki	O	tr
Türkiye	O	tr
'de	O	tr
bu	O	tr
tip	O	tr
oluşumlar	O	tr
bir	O	tr
ihtiyacın	O	tr
sonucu	O	tr
olarak	O	tr
ortaya	O	tr
çıkar	O	tr
,	O	tr
ancak	O	tr
o	O	tr
